comments_disabled; id; edge_media_to_caption; shortcode; edge_media_to_comment; taken_at_timestamp; dimension; edge_liked_by; owner; is_video
False; 2241577470833611720; Heute ist Dienstag - das heißt, wir stellen eine Aktion rund um das Thema #Nachhaltigkeit im und ums HPI vor. Heute am Start: der @potspresso Pfandbecher. Seit neuestem ist der klimafreundliche Becher von #PotsPRESSO auch in #UlfsCafe im Haus A am #CampusGriebnitzsee erhältlich. Und zwar für 2€ Pfand, die man bei allen stadtweiten PotsPRESSO-Partnern wieder zurückbekommt, wenn man den Becher wieder abgibt. Das spart Müll und keiner braucht ein schlechtes Gewissen zu haben, einen Coffee2go zu trinken. Wir finden das eine tolle Idee!! Wenn ihr auch eine tolle Aktion rund ums Thema Nachhaltigkeit kennt oder unterstützt, freuen wir uns über eine Nachricht oder Verlinkung - wir teilen dann gern. :leaf_fluttering_in_wind::seedling::herb::recycling_symbol: It's Tuesday - which means that today we are presenting a campaign on the topic of #sustainability in and around the HPI. To start: the @potspresso deposit cup, since recently the climate friendly cup of #PotsPRESSO is also available at Ulf's Café. It costs 2€ deposit, which you can get back at all city-wide PotsPRESSO partners if you give your cup back. We think this is a great idea!  If you also know of or support a great sustainability campaign, we would be happy to hear about it - we're happy to share.  #PotsPRESSO #clean_IT #nachhaltigkeit #sustainibility #sdgs #hassoplattnerinstitut #semesterferien #noplanetb #green #campusgriebnitzsee #semesterbreak #studentenleben #earth; B8brtVVjlPI; 2; 1581436884; (1080, 1080); 61; 3586349215; False
False; 2239422698214710712; “Humanity has come far, but there remain issues” - Diese Textzeile jährt sich am 30.-31. Mai zum  5. Mal. Zum 5. Mal heißt es 24 Stunden lang planen, coden, designen, präsentieren und eventuell auch gewinnen.  Beim diesjährigen HackHPI (https://hackhpi.org) Hackathon dreht sich alles um Mobilität. Wie schaffen wir es die Zukunft der Menschheit so zu gestalten, dass wir auch weiterhin nachhaltig von A nach B kommen? Solchen und weiteren Challenges rund um Mobilität dürfen sich die Teilnehmer vom diesjährigen HackHPI stellen!  Ihr seid noch nicht angemeldet? Die Bewerbungsphase ist noch nicht geöffnet aber ihr könnt euch hier (https://hackhpi.org/preregister/) vorab für die Bewerbung anmelden.  Ihr könnt mit dem Begriff Hackathon noch nichts anfangen? Für euch haben wir einen Blogbeitrag auf der HackHPI Seite verfasst, der alles detailliert erklärt. Schaut doch mal rein.  Wenn ihr keine News rund um HackHPI und Hackathons allgemein verpassen wollt, folgt dem neuen Instagram Channel @hackhpi_2020 und schaut ab und zu auf dem Blog vorbei. Wir sehen uns hoffentlich am HackHPI 2020. :keyboard::laptop_computer::desktop_computer::woman_technologist::man_technologist: “Humanity has come far, but there remain issues”. This line of text will celebrate its 5th anniversary on 30-31 May. For the 5th time this means 24 hours of planning, coding, designing, presenting and possibly winning.  This year's HackHPI (https://hackhpi.org) Hackathon is all about mobility. How do we manage to shape the future of mankind in such a way that we continue to get from A to B in a sustainable way? These are just some of the challenges that participants of this year's HackHPI Hackathon can face!  You are not registered yet? The application phase is not open yet, but you can preregister here (https://hackhpi.org/preregister/). You don't know the term Hackathon yet? We have written a blog post for you on the HackHPI website that explains everything in detail. Have a look at it.  If you don't want to miss any news about HackHPI and Hackathons in general, follow the new Instagram Channel and check the blog from time to time. Hopefully see you at HackHPI 2020.  #Hackathon #HackHPI #Coding #hassoplattnerinstitut #campusgriebnitzsee #studentenleben; B8UBxQ9CN24; 0; 1581180010; (1072, 1080); 77; 3586349215; False
False; 2238782896809310773; Zweites Bild vom Campus Griebnitzsee (Uni Potsdam). . . . . . . . . . . . . . . . .#unipotsdam #campusgriebnitzsee #griebnitzseecampus #architektur #architekturfotografie #studentenleben #innenarchitektur #treppe #stairs #escalier #perspektive #linien #art #fotoart; B8RwS7difo1; 0; 1581103740; (720, 1080); 32; 3462273008; False
False; 2238781700728149952; Wir haben heute meinen Sohn an der Uni Potsdam besucht. Ich hatte die kleine Lumix LX15 dabei und hab das und das folgende Foto geschossen. :camera_with_flash: . . . . . . . . . . . . . . .#unipotsdam #campusgriebnitzsee #griebnitzseecampus #architektur #architekturfotografie #studentenleben #innenarchitektur #treppe #stairs #escalier #perspektive #linien; B8RwBhhi9fA; 0; 1581103597; (1348, 1080); 32; 3462273008; False
False; 2237953611749158648; Abendstimmung am HPI mit Mister Net. :fire::cityscape_at_dusk::deciduous_tree: Evening atmosphere at HPI with Mister Net.  #sunset #whenthesungoesdown #evening #abendstimmung #eveningmood #hassoplattnerinstitut #campusgriebnitzsee #potsdam #meinpotsdam #wirliebenpotsdam #babelsberg #campusleben #studentenleben #mrnet #misternet #artwork #jaumeplensa; B8OzvPkHG74; 1; 1581004886; (1080, 1080); 110; 3586349215; False
False; 2236539389748674512; :SOON_arrow: Es ist mal wieder soweit... Das Ende des Semesters steht vor der Tür und damit naht auch der Beginn der Prüfungsphase.  Unzählige Liter Kaffee werden getrunken, die ein oder andere Flasche Mate geleert, Bücher und Skripte gewälzt, Hausarbeiten geschrieben, zusätzliche Bib-Sessions mit den Lieblingskommilitonen eingelegt und Zusammenfassungen bis teilweise tief in die Nacht wiederholt.. und am Ende dieses Lernmarathons warten endlich die wohlverdienten Semesterferien! :hot_beverage::books::laptop_computer: Wie auch immer Eure Prüfungsvorbereitung aussehen mag - wir hoffen, dass ihr Alle das Semester erfolgreich und möglichst entspannt und stressfrei abschließen könnt und wünschen Euch viel Erfolg für Eure anstehenden Prüfungen! :four_leaf_clover::memo: Ни пуха ни пера!  #irsgoesinstagram #irs_up #interdisziplinärerusslandstudien #unipotsdam #prüfungsphase #exams #student #campuslife #coffee #bachelor #prüfungen #study #university #studentenleben #studiengang #universität #potsdam #semester #studygram #campusgriebnitzsee #экзамен #сессия #студенты #универ #нипуханипера; B8JyLmsI3_Q; 0; 1580836293; (1080, 1080); 14; 27707821031; False
False; 2236503958407126765; Heute starten wir mit einem Aufruf in puncto #Nachhaltigkeit und gehen mit gutem Beispiel voran: In den Semesterferien stellen wir jeden Dienstag eine Aktion rund um Nachhaltigkeit in und ums HPI und Potsdam vor. Und nun sind wir gespannt: Wie engagiert ihr euch für das Thema Nachhaltigkeit? Referenziert uns gern in euren Stories und Beiträgen oder schickt uns eure Aktionen per PM - wir verweisen dann gern darauf. :leaf_fluttering_in_wind::seedling::herb::recycling_symbol: Today we start a call for #sustainability and set a good example: Every Tuesday during the semester break, we will present a sustainability campaign in and around the HPI and Potsdam. And now we are excited: How committed are you to sustainability? Feel free to refer to us in your stories and posts or send us your activities via PM - we're happy to share them.  #clean_IT #nachhaltigkeit #sustainibility #sdgs #hassoplattnerinstitut #semesterferien #noplanetb #green #campusgriebnitzsee #semesterbreak #studentenleben #earth; B8JqIArnJ7t; 1; 1580832073; (1080, 1080); 72; 3586349215; False
False; 2234359925419743828; #Algoriddle: Vielleicht habt ihr unsere Rätsel ja auch schon vermisst - ab jetzt gibt es jeden Monat eins für euch zum Knobeln:  Heutiges Algoriddle: Saftmischung  Du hast zwei exakt gleich volle Gläser, das eine gefüllt mit Apfelsaft, das andere gefüllt mit Birnensaft. Du nimmst nun einen Löffel voll Saft aus dem Apfelsaftglas und gibst ihn in das Birnensaftglas, rührst gut um, und nimmst nun einen Löffel voll Saft wieder zurück.  Ist danach mehr Birnensaft im Apfelsaftglas oder mehr Apfelsaft im Birnensaftglas? :red_apple::green_apple::pear::cup_with_straw::cup_with_straw::pear::green_apple::red_apple: Die Lösung gibt es dann am Freitag in unserer Story. Viel Spaß beim Rätseln.  Fotobearbeitung via @becassoapp  #thisorthat #rätsel #quiz #riddle #riddles #hpirätsel #hassoplattnerinstitut #weekendmode #campusgriebnitzsee #potsdam #informatik #algorithmen #computerscience #logik #thinking; B8CCoOXAxpU; 2; 1580576484; (606, 1080); 66; 3586349215; False
False; 2232880227229431507; Ihr interessiert euch für Informatik und wollt gern mal hineinschnuppern? Am 1. Februar startet die Bewerbungsphase für das HPI-Schülerkolleg für Schülerinnen und Schüler ab Klasse 7. Bewerbt euch bis zum 03. Mai! :man_technologist::woman_technologist::laptop_computer::keyboard::desktop_computer::man_technologist::woman_technologist: You're interested in computer science and would like to know more about it? If you would like to be part of the HPI-Schülerkolleg 2020/21, submit your application through the HPI website by May 3!  #schülerkolleg #schüler #codingkids #kidswhocode #kolleg #informatik #digitaleslernen #berlin #brandenburg #hassoplattnerinstitut #potsdam #computerscience #campusgriebnitzsee; B78yLyCAPbT; 5; 1580400091; (720, 1080); 63; 3586349215; False
False; 2231430749555133760; Natürlich müssen wir auch noch bei der #dollypartonchallenge mitmachen. :winking_face: :graduation_cap::woman_technologist::man_technologist::sunrise_over_mountains::party_popper::winking_face: HPI's way of the #dollypartonchallenge.  #hassoplattnerinstitut #campusgriebnitzsee #meinpotsdam #lakehpi #potsdam #raiseyourglas #whysoserious; B73onGwHg1A; 0; 1580227299; (1080, 1080); 157; 3586349215; False
False; 2226357097071593462; Herzlichen Glückwunsch zum Geburtstag an unseren Gründer und Stifter Hasso Plattner. :birthday_cake::four_leaf_clover::bottle_with_popping_cork::party_popper: Happy Birthday to Hasso Plattner, the founder and donator of the Hasso Plattner Institute.  #happybirthday #birthday #hassoplattner #hassoplattnerinstitut #campusgriebnitzsee #potsdam; B7lm_vqH0f2; 14; 1579622472; (1080, 1080); 162; 3586349215; False
False; 2222733211092295570; Heute ist Welt-Nichts-Tag! Wir haben ein paar Vorschläge für schöne Orte am HPI, die zum Nichtstun einladen. :zzz::sun::bed::couch_and_lamp: It's world-nothing day - here are some suggestions for nice places to do nothing.  #weltnichtstag #worldnothingday #campusleben #campusgriebnitzsee #hassoplattnerinstitut #studentenleben #sunnyday #studentlife #chillout #lazy #hangout; B7YvBQ1np-S; 0; 1579190472; (1080, 1080); 55; 3586349215; False
False; 2221283675432373903; Winterstimmung am HPI! :snowflake::sun::sheaf_of_rice::sunrise: Winter Vibes at HPI!  #frosty #hassoplattnerinstitut #campusgriebnitzsee #potsdam #meinpotsdam #lakehpi #sunrise #winter #wintervibes #babyitscoldoutside; B7TlbvjhU6P; 3; 1579017675; (1350, 1080); 103; 3586349215; False
False; 2218324201104884646; :prince::prince::prince: And the winner is: @nico.giessmann  Herzlichen Glückwunsch zu deinem #HPIBecher! Melde dich gerne per DM.  Die richtige Lösung unseres letzten Rätsels war grün. Warum, erfahrt ihr hier :down_arrow::down_arrow::down_arrow: ###### Lösung Jeder König, der zwei rote Hüte sieht, weiß, dass er selbst einen grünen Hut aufhaben muss, da es nur zwei rote Hüte gibt. Also sieht keiner der ersten beiden Könige zwei rote Hüte. Wenn ich nun zwei rote Hüte sehe, müsste ich "Grün!" sagen. Sollte ich einen roten und einen grünen Hut sehen, dann muss ich auch "Grün!" sagen, denn wenn meine Hutfarbe Rot wäre, hätte ja der König mit dem grünen Hut seine Hutfarbe gewusst. Nehmen wir also an, dass ich zwei grüne Hüte sehe. Wenn ich nun einen roten Hut auf hätte, dann sieht der zweite König meinen roten Hut, und er weiß auch, dass der erste König meinen roten Hut sieht. Da der erste König seine Hutfarbe nicht kennt, kann der zweite König nun deduzieren, dass der erste König nicht zwei rote Hüte sieht da er aber mindestens einen roten Hut sieht, weiß der zweite König damit seine Hutfarbe (die ist dann grün). Da der zweite König aber seine Hutfarbe nicht herausgefunden hat, kann ich keinen roten Hut auf haben. Somit ist wieder "Grün!" die richtige Antwort. ###### Ende Lösung  #Rätsel #Logik #Informatik #gewinnspiel #quiz #rätseln #hassoplattnerinstitut #campusgriebnitzsee #studentenleben #studentlife #campusleben #algoriddle; B7JEhuTgkOm; 0; 1578664877; (1096, 1080); 63; 3586349215; False
False; 2217662329859590716; Heute feiert der HPI-Wissenspodcast Neuland ersten Geburtstag! Wir freuen uns auf ein neues Jahr mit vielen spannenden Folgen, ab jetzt alle vier Wochen unter: podcast.hpi.de :party_popper::wrapped_gift::candle::birthday_cake: Our podcast Neuland is already one year old - Happy Birthday! #hassoplattnerinstitut #campusgriebnitzsee #podcast #neuland #wissenspodcast #computerscience #happybirthday #celebration #anniversary; B7GuCOrC8o8; 0; 1578585972; (849, 1080); 53; 3586349215; False
False; 2215485408255637270; :prince::prince::prince::dizzy: So ganz können wir uns von den weihnachtlichen Rätseln noch nicht trennen - passend zu den Heiligen Drei Königen heute könnt ihr ein weiteres Mal einen #HPIBecher gewinnen. Wie gewohnt habt ihr bis Freitag, 12 Uhr Zeit, die richtige Lösung zu kommentieren. Viel Glück! :four_leaf_clover::glowing_star::four_leaf_clover::glowing_star::four_leaf_clover: #rätsel #quiz #Thermobecher #hassoplattnerinstitut #potsdam #campusgriebnitzsee #studentenleben #campusleben #codinglife #computerscience; B6-_D2cI3cW; 10; 1578326468; (1080, 1080); 31; 3586349215; False
False; 2213190191900653635; And the winner is :drum::drum::drum: @linascience !!! Herzlichen Glückwunsch zu deinem #HPIBecher! Melde dich gerne per DM.  Die Richtige Lösung unseres letzten Rätsels war 512. Warum, erfahrt ihr hier :down_arrow::down_arrow::down_arrow: ###### Lösung Wir zeigen erstmal einen Hilfssatz: Für alle natürlichen Zahlen n (also für 0,1,2,3...) gilt: Wenn genau 2^n Weihnachtsmänner übrig sind, stimmen mindestens die Hälfte aller Weihnachtsmänner gegen den Tod wenn genau x Weihnachtsmänner mit 2^n < x < 2^(n+1) übrig sind, so stimmen mindestens die Hälfte der Weihnachtsmänner für den Tod. Diese Aussage wollen wir induktiv zeigen, also zeigen, dass sie für n=0 gilt, und dann immer auch für um 1 größere n.  Die Aussage stimmt für n=0, da 2^n = 2^0 = 1 Weihnachtsmänner sich nicht selbst umbringen möchte. Sei nun ein n gegeben so dass die Aussage stimmt. Wenn nun genau 2^(n+1) Weihnachtsmänner übrig sind, dann stimmt Weihnachtsmänner Nummer 2^(n+1) natürlich gegen seinen Tod sollte dieser Weihnachtsmänner dennoch sterben, so würden nach unserer Aussage für n nun auch Weihnachtsmänner mit Nummern 2^n + 1 bis 2^(n+1) - 1 sterben, weshalb diese nun auch gegen den Tod von Weihnachtsmänner 2^(n+1) sind, womit genau die Hälfte der Weihnachtsmänner gegen den Tod sind. Damit wissen alle diese Weihnachtsmänner mit Nummern höchstens 2^(n+1), dass sie auf jeden Fall überleben, da es spätestens wenn alle späteren Weihnachtsmänner getötet worden sind, zum Abbruch des Tötens kommt. Damit stimmen diese Weihnachtsmänner also, zur Schatzmaximierung, für alle größeren Anzahlen an Weihnachtsmänner für den Tod. Deshalb gilt, wenn genau x Weihnachtsmänner übrig sind mit 2^(n+1) < x < 2^(n+2), dann stimmen mehr als die Hälfte der Weihnachtsmänner für den Tod.  Wir nutzen den Hilfssatz nun für n = 9 und erhalten, dass 512 Weihnachtsmänner sich den Schatz teilen. ###### Ende Lösung  An dieser Stelle auch vielen Dank an Dr. Timo Kötzing vom Lehrstuhl Algorithm Engineering für seine tatkräftige Unterstützung und insbesondere die Lösungen! :winking_face: #unserHeld #vielenDank #Adventsrätsel #Rätsel #Logik #Informatik #gewinnspiel #quiz #rätseln #hassoplattnerinstitut #campusgriebnitzsee #studentenleben #studentlife #campusleben; B621MDonfhD; 1; 1578052856; (1080, 1080); 67; 3586349215; False
False; 2210955478664505339; #Daswar2019: Von jubelnden Absolventen, begeisterten Schülern, einem Besuch von Vinton Cerf bis zu einem rauschenden Fest anlässlich #20JahreHPI - Ein großartiges Jubiläumsjahr! Wir freuen uns auf 2020! :partying_face::bottle_with_popping_cork::confetti_ball::party_popper::collision: #Thiswas2019: Cheering graduates, amazed students, a visit from Vinton Cerf and a fabulous party for our 20th anniversary - what a great year! We're looking forward to 2020.  #Goodbye2019 #2019isover #jahresabschluss #silvester #hassoplattnerinstitut #campusgriebnitzsee #potsdam #welovepotsdam #studentenleben #anniversary #celebration #whatayear; B6u5EswAGf7; 1; 1577786453; (608, 1080); 64; 3586349215; False
False; 2207466156016259333; Fit-for-BwInf-Camp 2019 am Hasso-Plattner-Institut in Potsdam (Januar 2019)  #bwinf #camp #bundeswettbewerbinformatik #informatik #hpi #hassoplattnerinstitut #campusgriebnitzsee #potsdam #workshop #belatedpost #programmieren #wettbewerb #competition #java #coding #developer #teamwork #fun #education #digitalisierung #technik #codinglife #codingisfun #mint #stem #computer #science #hacking #weihnachten #christmas; B6ifsXzC9EF; 0; 1577370493; (608, 1080); 79; 1486227250; False
False; 2206956104324238963; Happy Holidays! We wish everyone some peaceful and quiet days with their families and friends and look forward to start continue the MPM journey with you next year #merrychristmas #mpm_potsdam; B6gruJJIE5z; 1; 1577309690; (1350, 1080); 30; 7706577567; False
False; 2205882197404018793; Heute wünschen wir mit dem Schaf aus HPI-Logos von @official__liza und @danielamadeusj.glockner - Fröhliche Weihnachten! :Christmas_tree::dizzy::Santa_Claus::wrapped_gift::confetti_ball::cookie::candle: Merry Christmas!  #christmas #xmas #merrychristmas #weihnachtsschaf #weihnachten #hassoplattnerinstitut #campusgriebnitzsee; B6c3ivYn-hp; 1; 1577181671; (1067, 1080); 56; 3586349215; False
False; 2204432444722173013; :candle::candle::candle::candle: #Adventsrätsel: 1000 #Weihnachtsmänner. Heute gibt es schon das vierte Adventsrästel. Für die Antwort habt ihr wieder bis Freitag, den 27.12.19 um 12 Uhr Zeit. Unter allen korrekten Antworten verlosen wir einen unserer #HPIBecher (die Verlosung findet allerdings erst im neuen Jahr statt). Viel Erfolg und einen schönen 4. Advent. :Christmas_tree::wrapped_gift::cookie::keycap_digit_four: #adventsrätsel #advent #gewinnspiel #logik #quiz #rätsel #rätseln #hassoplattnerinstitut #campusgriebnitzsee #studentenleben #studentlife #campusleben; B6Xt6D_AtRV; 21; 1577008847; (1080, 1080); 39; 3586349215; False
False; 2203104143074067662; :Santa_Claus::sparkles::Christmas_tree:And the winner is @hatsq . Herzlichen Glückwunsch zum Gewinn eines HPI-Thermobechers. Bitte melde dich per Privatnachricht bei uns.  Wer dieses Mal kein Glück hatte: Am Sonntag gibt es das letzte kleine #Adventsrätsel. Ein schönes Adventswochenende! :candle::cookie::candle::cookie::candle::cookie::candle: ###### Lösung Jeder Dominostein deckt genau ein weißes Feld wie auch ein weißes Feld ab. Also muss eine gültige Abdeckung eines Schachbretts ebenso viele weiße wie schwarze Felder abdecken (das ist die Invariante). Bei unserem Brett haben die zwei fehlenden Ecken aber die gleiche Farbe, es gibt also zwei mehr Felder von der einen Farbe als von der anderen, womit keine vollständige gültige Abdeckung möglich ist. ###### Ende Lösung  #hassoplattnerinstitut #adventsrätsel #vorweihnachtszeit #advent #gewinnspiel #thermobecher #studentenleben #campusgriebnitzsee #hpibecher #nikolaus #potsdam #winnerwinnerchickendinner #christmas #xmas #verlosung; B6S_4urHwTO; 0; 1576850501; (1350, 1080); 57; 3586349215; False
False; 2202439606087356869; Schon in Weihnachtsstimmung? Wir schon, nachdem wir diese leckeren Kreationen des HPI-Kochklubs gesehen und probiert haben. :Christmas_tree::cookie::dizzy::candle::ribbon: Already feeling Christmas Vibes? We are, since we saw and tried these fabulous cookies by our Cooking Club.  #hassoplattnerinstitut #hpi #campusgriebnitzsee #plätzchen #christmascookies #christmas #xmas #countdowntillchristmas #kochklub #potsdam #studentenleben #campusleben #studentswhocook #cookingstudents #weihnachtsplätzchen #advent #dezemberträume; B6QoycYFpHF; 0; 1576771282; (1080, 1080); 65; 3586349215; False
False; 2200990321322557290; Nur noch eine Woche bis Weihnachten. :SOON_arrow::candle::Santa_Claus::Christmas_tree::dizzy::ribbon::wrapped_gift: Only one week till Christmas.  #servicetweet #christmascountdown #hassoplattnerinstitut #campusgriebnitzsee #weihnachtskugeln #xmas #adventszeit #dezember #campusleben #studentenleben #christmastree #potsdam #wirliebenpotsdam; B6LfQkwgP9q; 0; 1576598514; (1080, 1080); 96; 3586349215; False
False; 2199358869061392840; :candle::candle::candle: #Adventsrätsel: Heute gibt es schon das dritte Adventsrästel. Für die Antwort habt ihr wieder bis Freitag, den 20.12.19 um 12 Uhr Zeit. Unter allen korrekten Antworten verlosen wir einen unserer #HPIBecher. Viel Erfolg und einen schönen 3. Advent. :Christmas_tree::wrapped_gift::cookie::keycap_digit_three: #adventsrätsel #advent #gewinnspiel #logik #quiz #rätsel #rätseln #hassoplattnerinstitut #campusgriebnitzsee #studentenleben #studentlife #campusleben; B6FsT0cAlnI; 8; 1576404029; (1080, 1080); 31; 3586349215; False
False; 2198262777259448051; #campusgriebnitzsee #spiegellung #nacht #beleuchtet #umgedreht  #irgendwoinbrandenburg #potsdamliebe #potsdampics #potsdam #potsdam_insta #visitpotsdam #deinpotsdam #potsdamgram #contrast #epic #amazing #germany #nikonp900; B6BzFlZg1bz; 0; 1576273365; (1349, 1080); 22; 3166153825; False
