comments_disabled; id; edge_media_to_caption; shortcode; edge_media_to_comment; taken_at_timestamp; dimension; edge_liked_by; owner; is_video
False; 2242508824141641618; Ersten Einblicke der Folge 3:eyes: — #gntm2020 #gntmreact; B8e_eTspDeS; 0; 1581547905; (1350, 1080); 0; 10624365976; False
False; 2242507613405507813; Ersten Einblicke der Folge 3:eyes: — #gntm2020 #gntmreact; B8e_MsHJPDl; 0; 1581547761; (213, 320); 0; 10624365976; False
False; 2242500274673182178; Un Hémisphère dans une Chevelure Dans l'océan de ta chevelure, j'entrevois un port fourmillant de chants mélancoliques, d'hommes vigoureux de toutes nations et de navires de toutes formes découpant leurs architectures fines et compliquées sur un ciel immense où se prélasse l'éternelle chaleur. Charles Baudelaire Canon Eos PH :copyright: 2019 Modèle Laura :butterfly:  @laura_micki @laura.gntm2020.official  Team Laura  German New Top Model  2020 Selection  #topmodel #gntm2020  #baudelaire #charlesbaudelaire #chevelure #poetrylovers #poetryofinstagram #unhémisphèredansunechevelure; B8e9h5YnGXi; 0; 1581546886; (1351, 1080); 0; 7756660798; False
False; 2242476936023034496; #gntm2020 #vizsla; B8e4ORkqMqA; 1; 1581544104; (1080, 1080); 1; 19036147268; False
False; 2242470288335635243; Uhm well this edit took long af but the result isn't that good lmao (sry for this Audio tho this was an audio from a stranger things edit) :face_with_tears_of_joy::two_hearts: - - - - - - - - - #thevampirediaries #tvd #germanysnexttopmodel #germanysnexttopmodel2020 #gntm #gntm2020 #gntmedits #gntmedit #ichbingntm2020 #model #gntmalicija #tvdedits #delena #tvdedit #videoedit #edit #audiosforedits #videostar #videostarapp #videostaredit #stelena #vscoloring #omgpage #omgpageedit #omgedit #alightmotion; B8e2tibnQMr; 4; 1581543351; (422, 750); 17; 11941407514; True
False; 2242453014094758520; Impressionen vom letzten Umzug in Gams :party_popper: Video folgt in den kommenden Tagen/Wochen. Doch am besten sind wir immer noch live.  Wir freuen uns bereits jetzt schon riesig auf den grandiosen Umzug am kommenden Samstag in Rebstein. Nach dem Umzug heisst es einmal mehr Party Party Party in der Modelvilla:party_popper: Der genaue Standort wird euch direkt nach dem Umzug in unserer Insta-Story bekannt gegeben. Freude herrscht :raising_hands_medium-light_skin_tone::face_blowing_a_kiss: #gams #rebstein #oberriet #altstätten #kriessern #schönengrund #niceground #trüebbach #gntm2020 #gntm #germanysnexttopmodel2020 #ontm #sntm #switzerlandsnexttopmodel #germanysnexttopmodel #ichbingntm2020 #beauty #model #fashion #fashionblogger #heidiklum #queenofdrags #catwalk #comedy #fasnacht #fasnacht2020; B8eyyKin0J4; 4; 1581541252; (847, 1080); 418; 8474917589; False
False; 2242451979627069843; Morgen 20:15Uhr auf ProSieben, ich freue mich :grinning_squinting_face:  #TeamMareike #gntm2020 #germanysnexttopmodel #fanpage; B8eyjHHiwGT; 0; 1581541129; (1350, 1080); 29; 18013931418; False
False; 2242427671146061604; #gntm #gntm2020 #germanysnexttopmodel :camera_with_flash:: @rankinarchive; B8etBYFKt8k; 0; 1581538231; (1350, 1080); 1; 29407527582; False
False; 2242426965160639762; #gntm #gntm2020 #germanysnexttopmodel :camera_with_flash:: @rankinarchive; B8es3GlKD0S; 0; 1581538147; (810, 1080); 1; 29407527582; False
False; 2242426416663296403; #gntm #gntm2020 #germanysnexttopmodel :camera_with_flash:: @rankinarchive; B8esvHwKvmT; 0; 1581538081; (1350, 1080); 1; 29407527582; False
False; 2242425533443502935; #gntm #gntm2020 #germanysnexttopmodel :camera_with_flash:: @rankinarchive; B8esiRMKnNX; 0; 1581537976; (1350, 1080); 1; 29407527582; False
