comments_disabled; id; edge_media_to_caption; shortcode; edge_media_to_comment; taken_at_timestamp; dimension; edge_liked_by; owner; is_video
False; 2247487362223457522; Die uniContact sucht dich!  PRAXISERFAHRUNG :black_small_square: KARRIEREMESSE :black_small_square: MOTIVIERTE  TEAMKOLLEGEN :black_small_square: UNTERNEHMENSKONTAKTE  Bevor es mit dem Kick-Off Meeting im März losgeht, wollen wir euch persönlich kennenlernen! :beaming_face_with_smiling_eyes:  Alle Interessierten sind herzlich zu unserem Treffen in der gemütlichen Happy Hour Bar bei entspannter Atmosphäre eingeladen.  Kommt vorbei, wir freuen uns auf euch :winking_face::tropical_drink: #unicontact #uniclever #karrieremesse #student #gettogether #studentischeunternehmensberatung #unipotsdam #uni-potsdam #griebnitzsee #vereinstreffen #erfolg #lernen #vorwärtskommen #studentenleben #consulting #juniorenterprise #jcnetwork "; B8wrdkmgkTy; 0; 1582141393; (1080, 1080); 9; 6926903307; False
False; 2246661770088616134; Universitätsball | 15. Februar 2020⁠ ⁠ Der 8. Universitätsball unter dem Motto „The New Twenties“ war ein voller Erfolg. Die Beleuchtung und Dekorationen haben eine tolle Atmosphäre geschaffen. Viele Gäste haben ihre Garderobe dem Motto entsprechend gewählt, so dass der Ball einer Zeitreise in die wilden 20er Jahre glich. Das Buffet des @studentenwerk_potsdam ließ keine Wünsche offen und als dann die Gala Band Berlin zum Tanz spielte, hielt es niemanden mehr auf den Sitzen. Und auch die Showacts begeisterten das Publikum: Artistin Tatiana Konoballs (@quintoneen_64_eri ), Jongleur @lukas_koester und Zauberer @ullyloup. Die Gäste feierten bis in die frühen Morgenstunden und es war ein rundum toller Abend. Anbei findet ihr Bilder mit Impressionen.⁠ ⁠ ==⁠ ⁠ University Ball 2020 | February 15, 2020⁠⠀⁠ ⁠ The 8th university ball themed "The New Twenties" was a huge success. The lighting and the decorations created a great atmosphere. Many guests dressed accordingly so that the ball became a journey through time back to the roaring twenties. The buffet by the @studentenwerk_potsdam left nothing tob e desired and when the Gala Band Berlin began to play and sing no one stayed in their seats. The showacts got the audience completely excited: artist Tatiana Konoballs (@quintoneen_64_eri ), juggler @lukas_koester and magician @ullyloup. The guests then celebrated and danced into the early morning hours and it was a great evening all around. Find attached som pictures of the event.⁠ ⁠ Photos: rotschwarzdesign /C. Freytag⁠ ⁠ #thenewtwenties #universitätsball #uniball2020 #uniballpotsdam2020 #unipotsdam #potsdam #griebnitzsee #schonvorbei #schönwares #aboutlastnight #upimpressions; B8tvvoAlRDG; 0; 1582042975; (1080, 1080); 253; 1483235481; False
False; 2245957442353755680; :sailboat::herb: • #igerspotsdam #potsdam #griebnitzsee #babelsberg #berlinDE #brandenburg #insidenature #naturphotography #frischeluft #berlin #redhair #naturdeutschland #gay #gaypotsdam #schwul #boyfriend #galaxys10 #s10e; B8rPmTsI_Yg; 7; 1581959012; (1349, 1080); 80; 4356202039; False
False; 2245313334664496279; Lotta! #dogs #dogsofinstagram #animalphotography #dogs #dogstagram #dogphotography #berlin #wannsee #griebnitzsee #nature_shooters #naturephotography #nature_good #cutedogs #cutedogsofinstagram #canondeutschland #canonmoment #canonphotography; B8o9JTqIASX; 0; 1581882229; (1080, 1080); 16; 1923347806; False
False; 2244503262148030424; #potsdam #babelsberg#friseurliebe #painting#blondehair #blond #balayageblonde #griebnitzsee; B8mE9M1ie_Y; 0; 1581785669; (750, 750); 9; 7116496237; True
False; 2243936999089547086; Valentinstag ist fast vorbei und ihr braucht noch ein Last-minute Geschenk für eure/n Liebste/n? Wie wäre es mit LateNight Karten für den Uniball? Die könnt ihr online unter uniball-potsdam.tickets.de oder aber an der Abendkasse bekommen (Einlass ab 22 Uhr). #thenewtwenties #uniball2020 #uniballpotsdam2020 #unipotsdam #ball #Livemusik #Griebnitzsee #loveisintheair #valentinstag #lastminutegeschenk  Are you still looking for a lastminute gift for your valentine? How about LateNight tickets for the university ball? You can buy those online at uniball-potsdam.tickets.de or at the box office on site (entrance at 10pm).; B8kEM_RFqdO; 0; 1581718157; (1080, 1080); 170; 1483235481; False
False; 2243681355380028392; Der rote Teppich liegt bereit. Heute starten wir mit den Vorbereitungen für den 8. Uniball. Unter dem Motto "The New Twenties" verwandeln wir Haus 6 in Griebnitzsee in einen Vergnügungstempel der 20er Jahre. Folgt dem Aufbau und der Veranstaltung in unseren Stories. #uniball2020 #uniballpotsdam2020 #unipotsdam #makingof #vorbereitung #thenewtwenties #ball #Livemusik #Potsdam #Griebnitzsee  The red carpet is ready. Today we start with the preparations for the 8th university ball. According to our motto "The New Twenties" we will transform house 6 on Griebnitzsee Campus in a ballroom of the Roaring 20s. Follow the making of and the event on Saturday in other stories.; B8jKE4gl_Po; 0; 1581687682; (1080, 1080); 162; 1483235481; False
False; 2243067613034841197; :eyes:Hier zeige ich dir wieder einige Ausschnitte, aus meinem Workshop „Das menschliche Auge Foto realistisch zeichnen lernen“, der in meinem Atelier in Caputh stattfindet. . Du lernst dabei schritt für Schritt die Anatomie und die geometrische Form :eye:zu beherrschen, den Umgang mit Licht und Schatten und mit diesem Fundament, gehen wir dazu über, das Auge lebendig zu zeichnen! . für aktuelle Termine klicke auf den Link in meinem Profil::down_arrow: @ralf_wilhelm_schmidt_artist .  #beelitz #saarmund #seddin #stahnsdorf #hermannswerder #caputh #bornim #bornstedt #potsdam #michendorf #babelsberg #ferch #neuseddin #wildenbruch #kleinmachnow #griebnitzsee #berlinervorstadt #schwielowsee #kleinmachnow #berlin #potsdam # brandenburg #ludwigsfelde #nikolassee #wannsee  #workshop #howtodraw #drawing #eyes #augen; B8g-hwaIARt; 1; 1581615008; (937, 750); 61; 8885485914; True
False; 2242912591223678525; „Wann wird‘s mal wieder richtig Winter?“ #griebnitzsee #brandenburg :camera: @kuslukasz; B8gbR5GI2Y9; 5; 1581596038; (1078, 1080); 230; 5482126711; False
False; 2240987869559168273; :red_heart:#friseursalon #potsdam#babelsberg #griebnitzsee #rbb #marlenedietrichallee #gründerinnen :red_heart:; B8ZlpgXCJ0R; 0; 1581366593; (640, 640); 28; 7116496237; False
False; 2240984713748062560; #flechtfrisur #kinderaugen #potsdam#babelsberg #griebnitzsee #friseursalon; B8Zk7lSCKFg; 2; 1581366217; (1080, 1080); 15; 7116496237; False
False; 2240758811849013347; Die Vorlesungszeit ist zu Ende gegangen – das bedeutet auch: Die Zeit für Prüfungen und Praktika hat begonnen:books:. Wir wünschen euch viel Erfolg in der Prüfungsphase! :four_leaf_clover:⁠ ⁠ Wie geht ihr eure Hausarbeiten und Prüfungsvorbereitungen an? Teilt eure Tipps fürs Lernen und Arbeiten mit uns! Schreibt sie als Kommentare zu diesem Post oder als Stories – dann bitte @unipotsdam nicht vergessen, damit wir sie wiederum mit allen anderen teilen könnten.⁠ ⁠ ==⁠ The lecture period has ended - this also means that the time for exams and internships has begun:books:. We wish you much success in the exam phase! :four_leaf_clover:⁠ ⁠ How are you dealing with your academic assignment and exam preparations? Share your tips for learning and writing during the exam phase with us! Write them as comments on this post or publish them as Instagram Stories. Please don't forget @unipotsdam, so that we could share them with our followers on Instagram.⁠ ⁠ Photos: T. Roese⁠ ⁠ #unipotsdam #semesterferien #winterferien #prüfungsphase #studium #lernen #schreiben #prüfung #hausarbeit #praktikum #bibliothek #unibib #neuespalais #golm #griebnitzsee #universityofpotsdam #library #study #exam #academicpaper #internship #semesterbreak; B8YxkRvljhj; 9; 1581339287; (1080, 1080); 550; 1483235481; False
False; 2240567447476323973; Qualitiy Time #weekend #weekendvibes #familienzeit #chillen #spaziergangimgrünen #griebnitzsee #babelsberg #potsdam #potsdamistschön #heimat #zeitmitdenliebsten; B8YGDjyIUaF; 0; 1581316475; (1080, 1080); 30; 176263550; False
False; 2240194308754090339; Ending my stay at home with a super long and super nice stroll along the Griebnitzsee. :leaf_fluttering_in_wind: (Auch: die Ruhe vor dem Sturm.) #greeksummergirl #strolling #sunsetlight #forest #griebnitzsee #travelblogger; B8WxNrRI6lj; 0; 1581271993; (1350, 1080); 28; 1362952838; False
False; 2240084690652617368; #undamendederstrassestehteinhausamsee #ruhevordemsturm #babelsberg #potsdam #griebnitzsee; B8WYShdI9qY; 0; 1581258926; (1329, 1080); 20; 2266560370; False
False; 2240024954317843318; #forest #wald #lastleave #potsdam #griebnitzsee #potsdamistschön; B8WKtPqICt2; 0; 1581251805; (810, 1080); 21; 654912976; False
False; 2240022743886259740; #dog #doglover #potsdam #babelsberg #sunnyday #griebnitzsee #labrador; B8WKNFCIuYc; 0; 1581251541; (810, 1080); 25; 654912976; False
False; 2239480698453093158; #urbig_house #villaurbig by #miesvanderrohe 1917 in #potsdam #babelsberg #griebnitzsee  #classicism  #architectureview  #architecturedose  #architecturephotography  #earlymies  #instarchitecture  #buildinglovers #greatarchitecture  #villa  #buildingphotography  #architecture_masters  #greatbuildings; B8UO9R4o-sm; 0; 1581186924; (720, 1080); 82; 2215853560; False
False; 2239467218639417771; #Griebnitzsee Blick auf‘s #Revier #Dreilinden morgens 08:00 vom #Ruderboot #8er aus. Bewerbung auf’s Revier Dreilinden war leider erfolglos :pensive_face: #BerlinerForsten #Grunewald #Wald #Forstwirtschaft #Förster #SRVW #Rudern #Berlin #Forst; B8UL5H1InGr; 2; 1581185317; (715, 1080); 48; 6238633515; False
