comments_disabled; id; edge_media_to_caption; shortcode; edge_media_to_comment; taken_at_timestamp; dimension; edge_liked_by; owner; is_video
False; 2242515297680501122; #modelblog @imgmodels #imgmodels #vivienmodelmanagement#fashionmodels #fashionmodel#ichbingntm2020#gntm2020 #hundefotografie #hundeliebe @modelwerk @models1 @fordmodelsscout#fotoshooting #ahaus #borken #münster; B8fA8gpoCmC; 0; 1581548677; (927, 1080); 6; 4189940013; False
False; 2242470288335635243; Uhm well this edit took long af but the result isn't that good lmao (sry for this Audio tho this was an audio from a stranger things edit) :face_with_tears_of_joy::two_hearts: - - - - - - - - - #thevampirediaries #tvd #germanysnexttopmodel #germanysnexttopmodel2020 #gntm #gntm2020 #gntmedits #gntmedit #ichbingntm2020 #model #gntmalicija #tvdedits #delena #tvdedit #videoedit #edit #audiosforedits #videostar #videostarapp #videostaredit #stelena #vscoloring #omgpage #omgpageedit #omgedit #alightmotion; B8e2tibnQMr; 4; 1581543351; (422, 750); 18; 11941407514; True
False; 2242453014094758520; Impressionen vom letzten Umzug in Gams :party_popper: Video folgt in den kommenden Tagen/Wochen. Doch am besten sind wir immer noch live.  Wir freuen uns bereits jetzt schon riesig auf den grandiosen Umzug am kommenden Samstag in Rebstein. Nach dem Umzug heisst es einmal mehr Party Party Party in der Modelvilla:party_popper: Der genaue Standort wird euch direkt nach dem Umzug in unserer Insta-Story bekannt gegeben. Freude herrscht :raising_hands_medium-light_skin_tone::face_blowing_a_kiss: #gams #rebstein #oberriet #altstätten #kriessern #schönengrund #niceground #trüebbach #gntm2020 #gntm #germanysnexttopmodel2020 #ontm #sntm #switzerlandsnexttopmodel #germanysnexttopmodel #ichbingntm2020 #beauty #model #fashion #fashionblogger #heidiklum #queenofdrags #catwalk #comedy #fasnacht #fasnacht2020; B8eyyKin0J4; 4; 1581541252; (847, 1080); 438; 8474917589; False
False; 2242391784328035363; Hey meine wunderschöne Community! :black_heart:  Ich möchte euch heute mit diesem Spruch ermutigen niemals aufzugeben.  Mir haben im Laufe meiner Karriere als Model so unglaublich viele Menschen gesagt „Du bist zu klein“ oder „Du kannst nicht hauptberuflich als Model arbeiten“ und trotzdem habe ich nie aufgegeben. Für mich gab es immer nur die Option nach den Sternen zu greifen. Und das solltet ihr auch tun.  Wie verläuft eure Karriere bisher und was ist euer Ziel? :black_heart:; B8ek3J4IHwj; 1; 1581533953; (1080, 1080); 17; 19623440325; False
False; 2242387703195286538; Everyday pain :rolling_on_the_floor_laughing: @tamara.gntm2020.official  #gntm#germanysnexttopmodel2020#germanysnexttopmodel#ichbingntm2020#meme#lol#roffl#fun#nice#funny#lol#catwalk#model#walk#red#talk#love#shoe#highheel#meme#memes#photo#picture#love#nice#modeeeel#yee#cat#shooting#geck#crazy#5minuten; B8ej7xBqLwK; 0; 1581533466; (1080, 1080); 42; 11844057815; False
False; 2242351746626629473; Für Nina-Sue, Daria und Charlotte hat es leider letzte woche nicht gereicht. Fandet Ihr die Entscheidung gerechtfertigt? :thinking_face: Wen wir es wohl morgen treffen :crystal_ball: . Fotos von Germany‘s next Topmodel, ProSieben :copyright: . . . . . . . . . . . . :ribbon: Hashtags: #germanysnexttopmodel2020 #germanysnexttopmodel #gntm2020 #gntm #heidiklum #heidi #model #models #modeling #modelagentur #germanmodels #tfpmodel #tfpmodel #tfpshooting #modelkartei #hamburgmodel #münchenmodel #sedcard #shooting #shootingday #casting #modelcasting #prosieben #ichbingntm2020 #2020; B8ebwh3KC9h; 0; 1581529180; (1080, 1080); 41; 29159849162; False
False; 2242297532503835444; Endlich mal ein etwas anderes Bild. Dankeschön :red_heart:  #ichbingntm2020 #iamwhoiam #jakobwelik #selbstbewusstsein #hollywood #coaching #coachinglife #mentalcoaching; B8ePbnBoEM0; 0; 1581522717; (1350, 1080); 5; 26546513578; False
False; 2242253205354752117; Eine neue Folge #GNTM! :beaming_face_with_smiling_eyes: :beating_heart: :beaming_face_with_smiling_eyes: Diesen Donnerstag an meiner Seite: Die unvergleichliche @joansmalls :face_blowing_a_kiss::beating_heart: @rankinarchive #ichbingermanysnexttopmodel2020 #ichbingntm2020; B8eFWkJpqh1; 148; 1581517678; (937, 750); 13084; 446305980; True
False; 2242203484162679160; :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: @julia.gntm2020.official  #gntm#germanysnexttopmodel2020#germanysnexttopmodel#ichbingntm2020#meme#lol#roffl#fun#nice#funny#lol#catwalk#model#walk#red#talk#love#shoe#highheel#meme#memes#photo#picture#love#nice#modeeeel#yee#cat#shooting#geck#crazy#5minuten; B8d6DBrqOF4; 5; 1581511506; (1080, 1080); 67; 11844057815; False
False; 2242042001502142732; 1138 – tothevet  www.Facebook.com/ClownCatComics _______________________________  #clowns #cats #comics #illustrator #illustrations #doodles #deutschecomics #indiecomics #germancomics #dailydoodles #dailychallenge #inktober2020 #cat #kittens #katzen #chibi #chibis #superdeformed #videogames #gaming #snes #supernintendo #nintendo #retrogaming  #retrogames #pets #gamergirl #ichbingntm2020 #ichbingntm2021 #animals; B8dVVJPCoEM; 0; 1581492255; (1080, 1080); 44; 5509398383; False
